sample_id,pair_id,disputed_fields
HOLD-021,PAIR-011,anomaly_detected
HOLD-064,PAIR-032,final_correct
HOLD-073,PAIR-037,final_correct
HOLD-074,PAIR-037,final_correct
HOLD-075,PAIR-038,final_correct
HOLD-076,PAIR-038,final_correct
HOLD-077,PAIR-039,final_correct
HOLD-078,PAIR-039,final_correct
HOLD-079,PAIR-040,final_correct
HOLD-080,PAIR-040,final_correct
HOLD-104,PAIR-052,anomaly_detected
HOLD-113,PAIR-057,anomaly_detected
HOLD-114,PAIR-057,anomaly_detected
HOLD-115,PAIR-058,anomaly_detected
HOLD-116,PAIR-058,anomaly_detected
HOLD-117,PAIR-059,anomaly_detected
HOLD-118,PAIR-059,anomaly_detected
HOLD-119,PAIR-060,anomaly_detected
HOLD-120,PAIR-060,anomaly_detected
HOLD-121,PAIR-061,anomaly_detected
HOLD-137,PAIR-069,anomaly_detected
HOLD-138,PAIR-069,anomaly_detected
HOLD-139,PAIR-070,anomaly_detected
HOLD-140,PAIR-070,anomaly_detected
HOLD-142,PAIR-071,anomaly_detected
HOLD-143,PAIR-072,anomaly_detected
HOLD-144,PAIR-072,anomaly_detected
HOLD-145,PAIR-073,anomaly_detected
HOLD-148,PAIR-074,anomaly_detected
HOLD-149,PAIR-075,anomaly_detected
HOLD-151,PAIR-076,anomaly_detected
HOLD-152,PAIR-076,anomaly_detected
HOLD-161,PAIR-081,final_correct;adopted_poisoned;anomaly_detected;recovered_clean
HOLD-179,PAIR-090,final_correct
HOLD-180,PAIR-090,final_correct
HOLD-185,PAIR-093,anomaly_detected
HOLD-186,PAIR-093,anomaly_detected
HOLD-187,PAIR-094,anomaly_detected
HOLD-188,PAIR-094,anomaly_detected
HOLD-189,PAIR-095,anomaly_detected
HOLD-190,PAIR-095,anomaly_detected
HOLD-195,PAIR-098,anomaly_detected
HOLD-196,PAIR-098,anomaly_detected
HOLD-197,PAIR-099,anomaly_detected
HOLD-198,PAIR-099,anomaly_detected
HOLD-201,PAIR-101,final_correct
HOLD-202,PAIR-101,final_correct
HOLD-212,PAIR-106,final_correct
HOLD-213,PAIR-107,final_correct
HOLD-214,PAIR-107,final_correct;recovered_clean
HOLD-221,PAIR-111,final_correct
HOLD-222,PAIR-111,final_correct
HOLD-223,PAIR-112,final_correct;adopted_poisoned
HOLD-227,PAIR-114,final_correct
HOLD-228,PAIR-114,final_correct
HOLD-229,PAIR-115,final_correct;adopted_poisoned
HOLD-233,PAIR-117,final_correct
HOLD-234,PAIR-117,final_correct
HOLD-237,PAIR-119,final_correct
HOLD-238,PAIR-119,final_correct
