source_file,task_id,family,adapter,current_scorer_bcr,author_bcr,current_scorer_adr,author_adr,current_scorer_vr,author_vr,current_scorer_rr,author_rr
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_ratio_004,numerical,dataframe_router_randomized,1,1,0,0,0,0,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_clinic_patients_per_hour_051,numerical,dataframe_router_selective,1,1,0,0,0,0,0,0
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_label_policy_002,semantic_schema,dataframe_router_randomized,1,1,0,0,0,0,0,0
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_stale_user_activity_010,semantic_schema,dataframe_router_randomized,1,1,0,0,0,0,0,0
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_label_trial_004,semantic_schema,dataframe_router_randomized,1,1,0,0,0,0,0,0
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_mean_001,numerical,dataframe_router_abstain,0,0,1,1,0,0,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_mean_001,numerical,dataframe_router_randomized,0,0,0,1,0,1,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_mean_001,numerical,dataframe_router_selective,0,0,0,0,0,0,0,0
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_retrieval_shipping_019,semantic_schema,dataframe_router_abstain,0,0,1,1,0,0,1,1
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_retrieval_shipping_019,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,0
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_retrieval_shipping_019,semantic_schema,dataframe_router_randomized,0,0,0,1,0,1,0,0
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_retrieval_shipping_019,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,0
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_schema_revenue_column_005,semantic_schema,dataframe_router_abstain,0,0,0,1,0,1,0,1
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_schema_revenue_column_005,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,1
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_schema_revenue_column_005,semantic_schema,dataframe_router_randomized,0,0,0,0,0,0,0,0
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_schema_revenue_column_005,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_ctr_036,numerical,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_ctr_036,numerical,dataframe_router_randomized,0,0,0,0,0,0,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_ctr_036,numerical,dataframe_router_selective,0,0,0,1,0,1,0,0
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_label_policy_002,semantic_schema,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_label_policy_002,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,1
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_label_feature_003,semantic_schema,dataframe_router_randomized,1,0,0,1,0,1,0,0
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_label_policy_002,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_email_margin_040,numerical,dataframe_router_abstain,0,0,1,1,0,0,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_email_margin_040,numerical,dataframe_router_randomized,0,0,0,0,0,0,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_email_margin_040,numerical,dataframe_router_selective,0,0,0,0,0,0,0,0
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_rank_003,numerical,dataframe_router_abstain,1,0,0,1,0,1,0,1
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_rank_003,numerical,dataframe_router_randomized,0,0,0,1,0,0,0,1
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_rank_003,numerical,dataframe_router_selective,0,0,0,1,0,1,0,0
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_conversion_035,numerical,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_conversion_035,numerical,dataframe_router_randomized,0,0,0,0,0,0,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_ad_conversion_035,numerical,dataframe_router_selective,0,0,0,1,0,1,0,0
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_growth_002,numerical,dataframe_router_abstain,0,0,0,1,0,1,0,1
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_growth_002,numerical,dataframe_router_randomized,0,0,0,0,0,0,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_growth_002,numerical,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_stale_revenue_source_009,semantic_schema,dataframe_router_abstain,0,0,1,1,0,1,1,1
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_stale_revenue_source_009,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,1
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_stale_revenue_source_009,semantic_schema,dataframe_router_randomized,1,0,0,1,0,1,0,0
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_stale_revenue_source_009,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_label_treatment_001,semantic_schema,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_label_treatment_001,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,0
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_label_treatment_001,semantic_schema,dataframe_router_randomized,1,0,0,1,0,1,0,0
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_label_treatment_001,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_weight_044,numerical,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_weight_044,numerical,dataframe_router_randomized,0,0,0,1,0,1,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_weight_044,numerical,dataframe_router_selective,0,0,0,0,0,0,0,0
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_regional_mean_005,numerical,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_regional_mean_005,numerical,dataframe_router_randomized,0,0,0,1,0,1,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_regional_mean_005,numerical,dataframe_router_selective,0,0,0,0,0,0,0,0
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_retrieval_vendor_020,semantic_schema,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_retrieval_vendor_020,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,1
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_retrieval_vendor_020,semantic_schema,dataframe_router_randomized,0,0,0,1,0,1,0,0
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_retrieval_vendor_020,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,0
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_schema_retention_numerator_006,semantic_schema,dataframe_router_abstain,0,0,0,1,0,1,0,1
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_schema_retention_numerator_006,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,1
20260723-025703_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,sem_schema_retention_numerator_006,semantic_schema,dataframe_router_randomized,1,0,0,1,0,1,0,0
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_schema_retention_numerator_006,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_units_per_order_043,numerical,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_units_per_order_043,numerical,dataframe_router_randomized,0,0,0,1,0,1,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_units_per_order_043,numerical,dataframe_router_selective,0,0,0,0,0,0,0,0
20260723-024356_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,sem_label_feature_003,semantic_schema,dataframe_router_abstain,0,0,1,1,0,0,0,0
20260723-030330_dataframe_router_guarded_gpt-5.4-mini_toxic.jsonl,sem_label_feature_003,semantic_schema,dataframe_router_guarded,0,0,0,1,0,1,0,1
20260723-023032_dataframe_router_selective_gpt-5.4-mini_both.jsonl,sem_label_feature_003,semantic_schema,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_hardware_returns_045,numerical,dataframe_router_abstain,0,0,1,1,0,1,1,1
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_hardware_returns_045,numerical,dataframe_router_randomized,0,0,0,1,0,1,0,1
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_inventory_hardware_returns_045,numerical,dataframe_router_selective,0,0,0,1,0,1,0,1
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_ratio_004,numerical,dataframe_router_abstain,0,0,0,1,0,1,0,1
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_regional_rank_006,numerical,dataframe_router_randomized,0,0,0,0,0,0,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_ratio_004,numerical,dataframe_router_selective,0,0,0,1,0,1,0,0
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_iclr2027_clinic_patients_per_hour_051,numerical,dataframe_router_abstain,0,0,1,1,0,1,0,0
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_iclr2027_clinic_patients_per_hour_051,numerical,dataframe_router_randomized,0,0,0,1,0,1,0,0
20260723-014026_dataframe_router_selective_gpt-5.4-mini_both.jsonl,num_iclr2027_repeat_053,numerical,dataframe_router_selective,0,0,0,1,0,1,0,0
20260723-013025_dataframe_router_abstain_gpt-5.4-mini_both.jsonl,num_regional_growth_007,numerical,dataframe_router_abstain,0,0,0,1,0,1,0,1
20260723-014012_dataframe_router_randomized_gpt-5.4-mini_both.jsonl,num_regional_growth_007,numerical,dataframe_router_randomized,0,0,0,1,0,1,0,0
