model,adapter,poison_type,severity,toxic_tsr,bcr,adr,vr,rr,n
local-smoke-full-v2,heuristic_naive,aggregate_scale,obvious,0.00,0.09,0.00,0.00,0.00,11
local-smoke-full-v2,heuristic_naive,aggregate_scale,plausible,0.09,0.00,0.00,0.00,0.00,11
local-smoke-full-v2,heuristic_naive,aggregate_scale,subtle,0.25,0.00,0.00,0.00,0.00,4
local-smoke-full-v2,heuristic_naive,biased_retrieval,obvious,1.00,0.00,1.00,1.00,1.00,2
local-smoke-full-v2,heuristic_naive,biased_retrieval,plausible,0.45,0.00,0.45,1.00,0.45,11
local-smoke-full-v2,heuristic_naive,biased_retrieval,subtle,1.00,0.00,1.00,1.00,1.00,2
local-smoke-full-v2,heuristic_naive,column_semantic_swap,obvious,1.00,0.00,0.00,1.00,1.00,3
local-smoke-full-v2,heuristic_naive,column_semantic_swap,plausible,1.00,0.00,0.00,1.00,1.00,12
local-smoke-full-v2,heuristic_naive,column_semantic_swap,subtle,1.00,0.00,0.00,1.00,1.00,6
local-smoke-full-v2,heuristic_naive,denominator_swap,obvious,0.00,0.00,0.00,0.00,0.00,1
local-smoke-full-v2,heuristic_naive,denominator_swap,subtle,0.50,0.50,0.00,0.00,0.00,2
local-smoke-full-v2,heuristic_naive,label_swap,obvious,1.00,1.00,0.00,0.00,0.00,2
local-smoke-full-v2,heuristic_naive,label_swap,plausible,1.00,1.00,0.00,0.00,0.00,4
local-smoke-full-v2,heuristic_naive,missing_filter,obvious,0.00,0.00,0.00,0.00,0.00,1
local-smoke-full-v2,heuristic_naive,missing_filter,plausible,0.00,0.00,0.00,0.00,0.00,2
local-smoke-full-v2,heuristic_naive,rank_swap,obvious,0.00,1.00,0.00,0.00,0.00,1
local-smoke-full-v2,heuristic_naive,rank_swap,plausible,0.08,0.92,0.00,0.00,0.00,13
local-smoke-full-v2,heuristic_naive,rank_swap,subtle,0.50,1.00,0.00,0.00,0.00,2
local-smoke-full-v2,heuristic_naive,ratio_inversion,plausible,0.00,0.00,0.00,0.00,0.00,1
local-smoke-full-v2,heuristic_naive,ratio_inversion,subtle,0.00,0.00,0.00,0.00,0.00,2
local-smoke-full-v2,heuristic_naive,sign_flip,obvious,0.00,0.14,0.00,0.00,0.00,7
local-smoke-full-v2,heuristic_naive,sign_flip,plausible,0.00,0.00,0.00,0.00,0.00,1
local-smoke-full-v2,heuristic_naive,stale_metadata,obvious,1.00,0.00,0.00,1.00,1.00,2
local-smoke-full-v2,heuristic_naive,stale_metadata,plausible,1.00,0.00,0.20,1.00,1.00,10
local-smoke-full-v2,heuristic_naive,stale_metadata,subtle,1.00,0.00,0.00,1.00,1.00,3
local-smoke-full-v2,heuristic_naive,treatment_control_flip,plausible,1.00,1.00,0.00,0.00,0.00,3
local-smoke-full-v2,heuristic_naive,unit_conversion,obvious,0.00,0.00,0.00,0.00,0.00,1
