suite,adapter,start_index,limit,tasks,rows,path
numerical_iclr2027,langgraph_react_full,0,5,5,10,toxictool_bench/results/20260721-235838_langgraph_react_full_claude-sonnet-4-6_both_start0_limit5.jsonl
numerical_iclr2027,langgraph_react_full,5,5,5,10,toxictool_bench/results/20260722-000001_langgraph_react_full_claude-sonnet-4-6_both_start5_limit5.jsonl
numerical_iclr2027,langgraph_react_full,10,5,5,10,toxictool_bench/results/20260722-000128_langgraph_react_full_claude-sonnet-4-6_both_start10_limit5.jsonl
numerical_iclr2027,langgraph_react_full,15,5,5,10,toxictool_bench/results/20260722-000251_langgraph_react_full_claude-sonnet-4-6_both_start15_limit5.jsonl
numerical_iclr2027,langgraph_react_full,20,5,5,10,toxictool_bench/results/20260722-000412_langgraph_react_full_claude-sonnet-4-6_both_start20_limit5.jsonl
numerical_iclr2027,langgraph_react_full,25,5,5,10,toxictool_bench/results/20260722-000548_langgraph_react_full_claude-sonnet-4-6_both_start25_limit5.jsonl
numerical_iclr2027,langgraph_react_full,30,5,5,10,toxictool_bench/results/20260722-000714_langgraph_react_full_claude-sonnet-4-6_both_start30_limit5.jsonl
numerical_iclr2027,langgraph_react_full,35,5,5,10,toxictool_bench/results/20260722-000838_langgraph_react_full_claude-sonnet-4-6_both_start35_limit5.jsonl
numerical_iclr2027,langgraph_react_full,40,5,5,10,toxictool_bench/results/20260722-001013_langgraph_react_full_claude-sonnet-4-6_both_start40_limit5.jsonl
numerical_iclr2027,langgraph_react_full,45,5,5,10,toxictool_bench/results/20260722-001144_langgraph_react_full_claude-sonnet-4-6_both_start45_limit5.jsonl
numerical_iclr2027,langgraph_react_full,50,5,5,10,toxictool_bench/results/20260722-001311_langgraph_react_full_claude-sonnet-4-6_both_start50_limit5.jsonl
numerical_iclr2027,langgraph_react_full,55,5,5,10,toxictool_bench/results/20260722-001509_langgraph_react_full_claude-sonnet-4-6_both_start55_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,0,5,5,10,toxictool_bench/results/20260722-001743_smolagents_toolcalling_claude-sonnet-4-6_both_start0_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,5,5,5,10,toxictool_bench/results/20260722-001933_smolagents_toolcalling_claude-sonnet-4-6_both_start5_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,10,5,5,10,toxictool_bench/results/20260722-002056_smolagents_toolcalling_claude-sonnet-4-6_both_start10_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,15,5,5,10,toxictool_bench/results/20260722-002238_smolagents_toolcalling_claude-sonnet-4-6_both_start15_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,20,5,5,10,toxictool_bench/results/20260722-002418_smolagents_toolcalling_claude-sonnet-4-6_both_start20_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,25,5,5,10,toxictool_bench/results/20260722-002559_smolagents_toolcalling_claude-sonnet-4-6_both_start25_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,30,5,5,10,toxictool_bench/results/20260722-002735_smolagents_toolcalling_claude-sonnet-4-6_both_start30_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,35,5,5,10,toxictool_bench/results/20260722-002922_smolagents_toolcalling_claude-sonnet-4-6_both_start35_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,40,5,5,10,toxictool_bench/results/20260722-003109_smolagents_toolcalling_claude-sonnet-4-6_both_start40_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,45,5,5,10,toxictool_bench/results/20260722-003242_smolagents_toolcalling_claude-sonnet-4-6_both_start45_limit5.jsonl
numerical_iclr2027,smolagents_toolcalling,50,5,5,10,toxictool_bench/results/20260722-003420_smolagents_toolcalling_claude-sonnet-4-6_both_start50_limit5.jsonl
