suite,adapter,start_index,limit,tasks,rows,path
numerical_iclr2027,langgraph_react_full,0,20,20,40,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start0_limit20.jsonl
numerical_iclr2027,langgraph_react_full,20,20,20,40,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl
numerical_iclr2027,langgraph_react_full,40,20,20,40,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start40_limit20.jsonl
numerical_iclr2027,langgraph_react_verification_only,0,20,20,40,toxictool_bench/results/20260829-113810_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start0_limit20.jsonl
numerical_iclr2027,langgraph_react_verification_only,20,20,20,40,toxictool_bench/results/20260829-113938_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl
numerical_iclr2027,langgraph_react_verification_only,40,20,20,40,toxictool_bench/results/20260829-114330_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start40_limit20.jsonl
numerical_iclr2027,langgraph_react_double_pass,0,20,20,40,toxictool_bench/results/20260829-115534_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start0_limit20.jsonl
numerical_iclr2027,langgraph_react_double_pass,20,20,20,40,toxictool_bench/results/20260829-120030_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl
numerical_iclr2027,langgraph_react_double_pass,40,20,20,40,toxictool_bench/results/20260829-120748_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start40_limit20.jsonl
numerical_iclr2027,langgraph_react_guarded,0,20,20,40,toxictool_bench/results/20260829-121447_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start0_limit20.jsonl
numerical_iclr2027,langgraph_react_guarded,20,20,20,40,toxictool_bench/results/20260829-121905_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start20_limit20.jsonl
numerical_iclr2027,langgraph_react_guarded,40,20,20,40,toxictool_bench/results/20260829-123552_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start40_limit20.jsonl
semantic_schema_iclr2027,langgraph_react_full,0,5,5,10,toxictool_bench/results/20260830-140720_langgraph_react_full_claude-haiku-4-5-20251001_both_start0_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_full,5,5,5,10,toxictool_bench/results/20260830-140720_langgraph_react_full_claude-haiku-4-5-20251001_both_start5_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_full,10,5,5,10,toxictool_bench/results/20260830-142351_langgraph_react_full_claude-haiku-4-5-20251001_both_start10_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_full,15,5,5,10,toxictool_bench/results/20260830-142931_langgraph_react_full_claude-haiku-4-5-20251001_both_start15_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_full,20,20,20,40,toxictool_bench/results/20260830-020619_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl
semantic_schema_iclr2027,langgraph_react_full,40,5,5,10,toxictool_bench/results/20260830-021306_langgraph_react_full_claude-haiku-4-5-20251001_both_start40_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_full,45,5,5,10,toxictool_bench/results/20260830-144236_langgraph_react_full_claude-haiku-4-5-20251001_both_start45_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_full,50,5,5,10,toxictool_bench/results/20260830-144841_langgraph_react_full_claude-haiku-4-5-20251001_both_start50_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_full,55,5,5,10,toxictool_bench/results/20260830-150855_langgraph_react_full_claude-haiku-4-5-20251001_both_start55_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,0,5,5,10,toxictool_bench/results/20260830-140928_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start0_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,5,5,5,10,toxictool_bench/results/20260830-141038_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start5_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,10,5,5,10,toxictool_bench/results/20260830-142645_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start10_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,15,5,5,10,toxictool_bench/results/20260830-143201_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start15_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,20,20,20,40,toxictool_bench/results/20260830-021740_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,40,5,5,10,toxictool_bench/results/20260830-021543_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start40_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,45,5,5,10,toxictool_bench/results/20260830-144631_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start45_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,50,5,5,10,toxictool_bench/results/20260830-145206_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start50_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_verification_only,55,5,5,10,toxictool_bench/results/20260830-151243_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start55_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_double_pass,0,5,5,10,toxictool_bench/results/20260830-141313_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start0_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_double_pass,5,5,5,10,toxictool_bench/results/20260830-141744_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start5_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_double_pass,10,5,5,10,toxictool_bench/results/20260830-143208_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start10_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_double_pass,15,5,5,10,toxictool_bench/results/20260830-143642_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start15_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_double_pass,20,20,20,40,toxictool_bench/results/20260830-024157_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl
semantic_schema_iclr2027,langgraph_react_double_pass,40,5,5,10,toxictool_bench/results/20260830-022115_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start40_limit5.jsonl
semantic_schema_iclr2027,langgraph_react_double_pass,45,5,5,10,toxictool_bench/results/20260830-145427_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start45_limit5.jsonl
