experiment,suite,variant,model,adapter,n_tasks,n_exposed,clean_tsr,clean_tsr_lo,clean_tsr_hi,toxic_tsr,toxic_tsr_lo,toxic_tsr_hi,delta_tsr,delta_tsr_lo,delta_tsr_hi,toxic_bcr,toxic_bcr_lo,toxic_bcr_hi,toxic_adr,toxic_adr_lo,toxic_adr_hi,toxic_vr,toxic_vr_lo,toxic_vr_hi,toxic_rr,toxic_rr_lo,toxic_rr_hi,poison_delivery_rate,poison_delivery_rate_lo,poison_delivery_rate_hi
cross_model,semantic_schema,,gpt-5.4-mini,langgraph_react_full,24,24,1.0,1.0,1.0,0.7916666666666666,0.625,0.9166666666666666,0.20833333333333337,0.08333333333333337,0.375,0.20833333333333334,0.08333333333333333,0.375,0.0,0.0,0.0,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,1.0,1.0,1.0
cross_model,semantic_schema,,gpt-5.4-mini,smolagents_toolcalling,24,20,1.0,1.0,1.0,0.4583333333333333,0.25,0.6666666666666666,0.5416666666666667,0.33333333333333337,0.75,0.6,0.38095238095238093,0.8095238095238095,0.0,0.0,0.0,0.05,0.0,0.15789473684210525,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0.9583333333333334
cross_model,semantic_schema,,gpt-5.4-mini,pandasai_dataframe,24,18,1.0,1.0,1.0,0.25,0.08333333333333333,0.4166666666666667,0.75,0.5833333333333333,0.9166666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5833333333333334,0.9166666666666666
cross_model,semantic_schema,,gpt-5.4-mini,autogen_tool_agent,24,24,1.0,1.0,1.0,0.7083333333333334,0.5416666666666666,0.875,0.29166666666666663,0.125,0.45833333333333337,0.20833333333333334,0.08333333333333333,0.375,0.0,0.0,0.0,0.75,0.5416666666666666,0.9166666666666666,0.6666666666666666,0.4583333333333333,0.8333333333333334,1.0,1.0,1.0
cross_model,semantic_schema,,claude-sonnet-4-6,langgraph_react_full,24,24,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,0.04166666666666663,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.7916666666666666,0.625,0.9583333333333334,1.0,1.0,1.0
cross_model,semantic_schema,,claude-sonnet-4-6,smolagents_toolcalling,24,23,1.0,1.0,1.0,0.7083333333333334,0.5416666666666666,0.875,0.29166666666666663,0.125,0.45833333333333337,0.2608695652173913,0.08695652173913043,0.45454545454545453,0.0,0.0,0.0,0.4782608695652174,0.2727272727272727,0.6818181818181818,0.43478260869565216,0.22727272727272727,0.6363636363636364,0.9583333333333334,0.875,1.0
cross_model,semantic_schema,,claude-sonnet-4-6,pandasai_dataframe,24,18,1.0,1.0,1.0,0.2916666666666667,0.125,0.5,0.7083333333333333,0.5,0.875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5822916666666668,0.9166666666666666
cross_model,semantic_schema,,claude-sonnet-4-6,autogen_tool_agent,24,24,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,0.04166666666666663,0.0,0.125,0.4166666666666667,0.20833333333333334,0.625,0.0,0.0,0.0,0.5416666666666666,0.3333333333333333,0.75,0.5416666666666666,0.3333333333333333,0.75,1.0,1.0,1.0
cross_model,semantic_schema,,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,24,24,1.0,1.0,1.0,0.7916666666666666,0.625,0.9166666666666666,0.20833333333333337,0.08333333333333337,0.375,0.20833333333333334,0.08333333333333333,0.375,0.0,0.0,0.0,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,1.0,1.0,1.0
cross_model,semantic_schema,,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,24,19,1.0,1.0,1.0,0.4583333333333333,0.25,0.6666666666666666,0.5416666666666667,0.33333333333333337,0.75,0.47368421052631576,0.2631578947368421,0.7,0.0,0.0,0.0,0.2631578947368421,0.06666666666666667,0.47058823529411764,0.05263157894736842,0.0,0.17647058823529413,0.7916666666666666,0.625,0.9583333333333334
cross_model,semantic_schema,,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,24,16,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.20833333333333334,0.041666666666666664,0.375,0.625,0.37499999999999994,0.875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.875
cross_model,semantic_schema,,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,24,24,1.0,1.0,1.0,0.75,0.5416666666666666,0.9166666666666666,0.25,0.08333333333333337,0.45833333333333337,0.2916666666666667,0.125,0.4593749999999943,0.0,0.0,0.0,0.5416666666666666,0.3333333333333333,0.75,0.5416666666666666,0.3333333333333333,0.75,1.0,1.0,1.0
