sample_id,pair_id,status,label_source
HOLD-001,PAIR-001,available,two_rater_agreement
HOLD-002,PAIR-001,available,two_rater_agreement
HOLD-003,PAIR-002,available,two_rater_agreement
HOLD-004,PAIR-002,available,two_rater_agreement
HOLD-005,PAIR-003,available,two_rater_agreement
HOLD-006,PAIR-003,available,two_rater_agreement
HOLD-007,PAIR-004,available,two_rater_agreement
HOLD-008,PAIR-004,available,two_rater_agreement
HOLD-009,PAIR-005,available,two_rater_agreement
HOLD-010,PAIR-005,available,two_rater_agreement
HOLD-011,PAIR-006,available,two_rater_agreement
HOLD-012,PAIR-006,available,two_rater_agreement
HOLD-013,PAIR-007,available,two_rater_agreement
HOLD-014,PAIR-007,available,two_rater_agreement
HOLD-015,PAIR-008,available,two_rater_agreement
HOLD-016,PAIR-008,available,two_rater_agreement
HOLD-017,PAIR-009,available,two_rater_agreement
HOLD-018,PAIR-009,available,two_rater_agreement
HOLD-019,PAIR-010,available,two_rater_agreement
HOLD-020,PAIR-010,available,two_rater_agreement
HOLD-021,PAIR-011,available,third_rater
HOLD-022,PAIR-011,available,two_rater_agreement
HOLD-023,PAIR-012,available,two_rater_agreement
HOLD-024,PAIR-012,available,two_rater_agreement
HOLD-025,PAIR-013,available,two_rater_agreement
HOLD-026,PAIR-013,available,two_rater_agreement
HOLD-027,PAIR-014,available,two_rater_agreement
HOLD-028,PAIR-014,available,two_rater_agreement
HOLD-029,PAIR-015,available,two_rater_agreement
HOLD-030,PAIR-015,available,two_rater_agreement
HOLD-031,PAIR-016,available,two_rater_agreement
HOLD-032,PAIR-016,available,two_rater_agreement
HOLD-033,PAIR-017,available,two_rater_agreement
HOLD-034,PAIR-017,available,two_rater_agreement
HOLD-035,PAIR-018,available,two_rater_agreement
HOLD-036,PAIR-018,available,two_rater_agreement
HOLD-037,PAIR-019,available,two_rater_agreement
HOLD-038,PAIR-019,available,two_rater_agreement
HOLD-039,PAIR-020,available,two_rater_agreement
HOLD-040,PAIR-020,available,two_rater_agreement
HOLD-041,PAIR-021,available,two_rater_agreement
HOLD-042,PAIR-021,available,two_rater_agreement
HOLD-043,PAIR-022,available,two_rater_agreement
HOLD-044,PAIR-022,available,two_rater_agreement
HOLD-045,PAIR-023,available,two_rater_agreement
HOLD-046,PAIR-023,available,two_rater_agreement
HOLD-047,PAIR-024,available,two_rater_agreement
HOLD-048,PAIR-024,available,two_rater_agreement
HOLD-049,PAIR-025,available,two_rater_agreement
HOLD-050,PAIR-025,available,two_rater_agreement
HOLD-051,PAIR-026,available,two_rater_agreement
HOLD-052,PAIR-026,available,two_rater_agreement
HOLD-053,PAIR-027,available,two_rater_agreement
HOLD-054,PAIR-027,available,two_rater_agreement
HOLD-055,PAIR-028,available,two_rater_agreement
HOLD-056,PAIR-028,available,two_rater_agreement
HOLD-057,PAIR-029,available,third_rater
HOLD-058,PAIR-029,available,third_rater
HOLD-059,PAIR-030,available,third_rater
HOLD-060,PAIR-030,available,third_rater
HOLD-061,PAIR-031,available,third_rater
HOLD-062,PAIR-031,available,third_rater
HOLD-063,PAIR-032,available,third_rater
HOLD-064,PAIR-032,available,third_rater
HOLD-065,PAIR-033,available,two_rater_agreement
HOLD-066,PAIR-033,available,two_rater_agreement
