suite,treatment,control,environment,resampling_unit,n_instances,n_clusters,difference,ci95_lo,ci95_hi,equal_cluster_weight_difference,rounds,seed
numerical_iclr2027,Double-pass,Base,clean,instance,58,58,-0.017241379310344827,-0.05172413793103448,0.0,-0.017241379310344827,5000,20260916
numerical_iclr2027,Double-pass,Base,clean,template,58,51,-0.017241379310344827,-0.05263157894736842,0.0,-0.00980392156862745,5000,20260916
numerical_iclr2027,Double-pass,Base,clean,dataset,58,14,-0.017241379310344827,-0.04918032786885246,0.0,-0.008928571428571428,5000,20260916
numerical_iclr2027,Double-pass,Base,toxic,instance,58,58,0.1896551724137931,0.08620689655172414,0.29310344827586204,0.1896551724137931,5000,20260916
numerical_iclr2027,Double-pass,Base,toxic,template,58,51,0.1896551724137931,0.08620689655172414,0.3050847457627119,0.19607843137254902,5000,20260916
numerical_iclr2027,Double-pass,Base,toxic,dataset,58,14,0.1896551724137931,0.08620226177233964,0.3125,0.26964285714285713,5000,20260916
numerical_iclr2027,Double-pass,Base,interaction,instance,58,58,0.20689655172413793,0.10344827586206896,0.3275862068965517,0.20689655172413793,5000,20260916
numerical_iclr2027,Double-pass,Base,interaction,template,58,51,0.20689655172413793,0.08771929824561403,0.3448275862068966,0.20588235294117646,5000,20260916
numerical_iclr2027,Double-pass,Base,interaction,dataset,58,14,0.20689655172413793,0.08641975308641975,0.348866279069767,0.2785714285714286,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,clean,instance,60,60,0.016666666666666666,0.0,0.05,0.016666666666666666,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,clean,template,60,36,0.016666666666666666,0.0,0.05357142857142857,0.009259259259259259,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,clean,dataset,60,22,0.016666666666666666,0.0,0.052631578947368425,0.007575757575757575,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,toxic,instance,60,60,0.03333333333333333,0.0,0.08333333333333333,0.03333333333333333,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,toxic,template,60,36,0.03333333333333333,0.0,0.08333333333333333,0.037037037037037035,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,toxic,dataset,60,22,0.03333333333333333,0.0,0.08620689655172414,0.0303030303030303,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,interaction,instance,60,60,0.016666666666666666,-0.03333333333333333,0.06666666666666667,0.016666666666666666,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,interaction,template,60,36,0.016666666666666666,-0.03571428571428571,0.07692307692307693,0.027777777777777776,5000,20260916
semantic_schema_iclr2027,Double-pass,Base,interaction,dataset,60,22,0.016666666666666666,-0.0375,0.08108108108108109,0.022727272727272728,5000,20260916
combined,Double-pass,Base,clean,instance,118,118,0.0,-0.025423728813559324,0.025423728813559324,0.0,5000,20260916
combined,Double-pass,Base,clean,template,118,87,0.0,-0.02378348824494259,0.023112480739599386,-0.0019157088122605365,5000,20260916
combined,Double-pass,Base,clean,dataset,118,30,0.0,-0.006742219172605451,0.007962001093493713,0.0,5000,20260916
combined,Double-pass,Base,toxic,instance,118,118,0.11016949152542373,0.059322033898305086,0.1694915254237288,0.11016949152542373,5000,20260916
combined,Double-pass,Base,toxic,template,118,87,0.11016949152542373,0.05611419956181522,0.17068334946733651,0.1302681992337165,5000,20260916
combined,Double-pass,Base,toxic,dataset,118,30,0.11016949152542373,0.05996723772360176,0.17164431613584155,0.13589285714285715,5000,20260916
combined,Double-pass,Base,interaction,instance,118,118,0.11016949152542373,0.05084745762711865,0.17796610169491525,0.11016949152542373,5000,20260916
combined,Double-pass,Base,interaction,template,118,87,0.11016949152542373,0.04599872107116503,0.18195012663159946,0.13218390804597702,5000,20260916
combined,Double-pass,Base,interaction,dataset,118,30,0.11016949152542373,0.05996723772360176,0.17309607248890005,0.13589285714285715,5000,20260916
numerical_iclr2027,Guard,Double-pass,clean,instance,58,58,0.0,-0.05172413793103448,0.05172413793103448,0.0,5000,20260916
numerical_iclr2027,Guard,Double-pass,clean,template,58,51,0.0,-0.05263157894736842,0.05,-0.00980392156862745,5000,20260916
numerical_iclr2027,Guard,Double-pass,clean,dataset,58,14,0.0,-0.05555555555555555,0.04285714285714286,-0.008928571428571428,5000,20260916
numerical_iclr2027,Guard,Double-pass,toxic,instance,58,58,-0.017241379310344827,-0.05172413793103448,0.0,-0.017241379310344827,5000,20260916
numerical_iclr2027,Guard,Double-pass,toxic,template,58,51,-0.017241379310344827,-0.05454545454545454,0.0,-0.0196078431372549,5000,20260916
numerical_iclr2027,Guard,Double-pass,toxic,dataset,58,14,-0.017241379310344827,-0.06976744186046512,0.0,-0.07142857142857142,5000,20260916
numerical_iclr2027,Guard,Double-pass,interaction,instance,58,58,-0.017241379310344827,-0.08620689655172414,0.034482758620689655,-0.017241379310344827,5000,20260916
numerical_iclr2027,Guard,Double-pass,interaction,template,58,51,-0.017241379310344827,-0.07407407407407407,0.03636363636363636,-0.00980392156862745,5000,20260916
numerical_iclr2027,Guard,Double-pass,interaction,dataset,58,14,-0.017241379310344827,-0.08163265306122448,0.04287267080745319,-0.0625,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,clean,instance,60,60,-0.016666666666666666,-0.05,0.0,-0.016666666666666666,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,clean,template,60,36,-0.016666666666666666,-0.05357142857142857,0.0,-0.009259259259259259,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,clean,dataset,60,22,-0.016666666666666666,-0.052631578947368425,0.0,-0.007575757575757575,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,toxic,instance,60,60,-0.03333333333333333,-0.08333333333333333,0.0,-0.03333333333333333,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,toxic,template,60,36,-0.03333333333333333,-0.08333333333333333,0.0,-0.018518518518518517,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,toxic,dataset,60,22,-0.03333333333333333,-0.07042667771333885,0.0,-0.012626262626262626,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,interaction,instance,60,60,-0.016666666666666666,-0.06666666666666667,0.03333333333333333,-0.016666666666666666,5000,20260916
