suite,adapter,start_index,limit,tasks,rows,path
semantic_schema_iclr2027,dataframe_router,0,5,5,10,toxictool_bench/results/20260719-192536_dataframe_router_gpt-5.4-mini_both.jsonl
semantic_schema_iclr2027,dataframe_router,5,5,5,10,toxictool_bench/results/20260719-210620_dataframe_router_gpt-5.4-mini_both_start5_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,10,5,5,10,toxictool_bench/results/20260719-222150_dataframe_router_gpt-5.4-mini_both_start10_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,15,5,5,10,toxictool_bench/results/20260719-232226_dataframe_router_gpt-5.4-mini_both_start15_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,20,5,5,10,toxictool_bench/results/20260720-003238_dataframe_router_gpt-5.4-mini_both_start20_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,25,5,5,10,toxictool_bench/results/20260720-014849_dataframe_router_gpt-5.4-mini_both_start25_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,30,5,5,10,toxictool_bench/results/20260720-030425_dataframe_router_gpt-5.4-mini_both_start30_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,35,5,5,10,toxictool_bench/results/20260720-141047_dataframe_router_gpt-5.4-mini_both_start35_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,40,5,5,10,toxictool_bench/results/20260720-153420_dataframe_router_gpt-5.4-mini_both_start40_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,45,5,5,10,toxictool_bench/results/20260720-224029_dataframe_router_gpt-5.4-mini_both_start45_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,50,5,5,10,toxictool_bench/results/20260721-000315_dataframe_router_gpt-5.4-mini_both_start50_limit5.jsonl
semantic_schema_iclr2027,dataframe_router,55,5,5,10,toxictool_bench/results/20260721-012951_dataframe_router_gpt-5.4-mini_both_start55_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,0,5,5,10,toxictool_bench/results/20260719-192839_dataframe_router_caution_gpt-5.4-mini_both.jsonl
semantic_schema_iclr2027,dataframe_router_caution,5,5,5,10,toxictool_bench/results/20260719-210908_dataframe_router_caution_gpt-5.4-mini_both_start5_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,10,5,5,10,toxictool_bench/results/20260719-222424_dataframe_router_caution_gpt-5.4-mini_both_start10_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,15,5,5,10,toxictool_bench/results/20260719-232506_dataframe_router_caution_gpt-5.4-mini_both_start15_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,20,5,5,10,toxictool_bench/results/20260720-003633_dataframe_router_caution_gpt-5.4-mini_both_start20_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,25,5,5,10,toxictool_bench/results/20260720-015207_dataframe_router_caution_gpt-5.4-mini_both_start25_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,30,5,5,10,toxictool_bench/results/20260720-030815_dataframe_router_caution_gpt-5.4-mini_both_start30_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,35,5,5,10,toxictool_bench/results/20260720-141456_dataframe_router_caution_gpt-5.4-mini_both_start35_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,40,5,5,10,toxictool_bench/results/20260720-153909_dataframe_router_caution_gpt-5.4-mini_both_start40_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,45,5,5,10,toxictool_bench/results/20260720-224532_dataframe_router_caution_gpt-5.4-mini_both_start45_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,50,5,5,10,toxictool_bench/results/20260721-000653_dataframe_router_caution_gpt-5.4-mini_both_start50_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_caution,55,5,5,10,toxictool_bench/results/20260721-013459_dataframe_router_caution_gpt-5.4-mini_both_start55_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,0,5,5,10,toxictool_bench/results/20260719-193148_dataframe_router_expectation_only_gpt-5.4-mini_both.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,5,5,5,10,toxictool_bench/results/20260719-211203_dataframe_router_expectation_only_gpt-5.4-mini_both_start5_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,10,5,5,10,toxictool_bench/results/20260719-222739_dataframe_router_expectation_only_gpt-5.4-mini_both_start10_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,15,5,5,10,toxictool_bench/results/20260719-232907_dataframe_router_expectation_only_gpt-5.4-mini_both_start15_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,20,5,5,10,toxictool_bench/results/20260720-004225_dataframe_router_expectation_only_gpt-5.4-mini_both_start20_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,25,5,5,10,toxictool_bench/results/20260720-015539_dataframe_router_expectation_only_gpt-5.4-mini_both_start25_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,30,5,5,10,toxictool_bench/results/20260720-031303_dataframe_router_expectation_only_gpt-5.4-mini_both_start30_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,35,5,5,10,toxictool_bench/results/20260720-141949_dataframe_router_expectation_only_gpt-5.4-mini_both_start35_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,40,5,5,10,toxictool_bench/results/20260720-154910_dataframe_router_expectation_only_gpt-5.4-mini_both_start40_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,45,5,5,10,toxictool_bench/results/20260720-225107_dataframe_router_expectation_only_gpt-5.4-mini_both_start45_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,50,5,5,10,toxictool_bench/results/20260721-001311_dataframe_router_expectation_only_gpt-5.4-mini_both_start50_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_expectation_only,55,5,5,10,toxictool_bench/results/20260721-014030_dataframe_router_expectation_only_gpt-5.4-mini_both_start55_limit5.jsonl
semantic_schema_iclr2027,dataframe_router_verification_only,0,5,5,10,toxictool_bench/results/20260719-195500_dataframe_router_verification_only_gpt-5.4-mini_both.jsonl
semantic_schema_iclr2027,dataframe_router_verification_only,5,5,5,10,toxictool_bench/results/20260719-211512_dataframe_router_verification_only_gpt-5.4-mini_both_start5_limit5.jsonl
