model,adapter,poison_type,severity,toxic_tsr,bcr,adr,vr,rr,n
gpt-5.4-mini,dataframe_router,biased_retrieval,obvious,1.00,0.00,1.00,0.00,1.00,2
gpt-5.4-mini,dataframe_router,biased_retrieval,plausible,0.73,0.09,0.36,0.36,0.45,11
gpt-5.4-mini,dataframe_router,biased_retrieval,subtle,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,dataframe_router,column_semantic_swap,obvious,1.00,0.67,0.33,0.00,0.33,3
gpt-5.4-mini,dataframe_router,column_semantic_swap,plausible,0.50,0.58,0.25,0.00,0.17,12
gpt-5.4-mini,dataframe_router,column_semantic_swap,subtle,1.00,1.00,0.00,0.00,0.00,6
gpt-5.4-mini,dataframe_router,label_swap,obvious,0.00,1.00,0.00,0.00,0.00,2
gpt-5.4-mini,dataframe_router,label_swap,plausible,0.00,1.00,0.00,0.00,0.00,4
gpt-5.4-mini,dataframe_router,stale_metadata,obvious,1.00,0.00,0.00,1.00,1.00,2
gpt-5.4-mini,dataframe_router,stale_metadata,plausible,0.00,1.00,0.00,0.00,0.00,10
gpt-5.4-mini,dataframe_router,stale_metadata,subtle,1.00,0.00,0.00,0.67,0.67,3
gpt-5.4-mini,dataframe_router,treatment_control_flip,plausible,0.00,1.00,0.00,0.00,0.00,3
gpt-5.4-mini,dataframe_router_caution,biased_retrieval,obvious,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,dataframe_router_caution,biased_retrieval,plausible,0.45,0.18,0.27,0.36,0.36,11
gpt-5.4-mini,dataframe_router_caution,biased_retrieval,subtle,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,dataframe_router_caution,column_semantic_swap,obvious,1.00,0.00,0.00,1.00,1.00,3
gpt-5.4-mini,dataframe_router_caution,column_semantic_swap,plausible,0.75,0.58,0.08,0.17,0.25,12
gpt-5.4-mini,dataframe_router_caution,column_semantic_swap,subtle,1.00,0.50,0.17,0.50,0.50,6
gpt-5.4-mini,dataframe_router_caution,label_swap,obvious,0.00,1.00,0.00,0.00,0.00,2
gpt-5.4-mini,dataframe_router_caution,label_swap,plausible,0.00,1.00,0.00,0.00,0.00,4
gpt-5.4-mini,dataframe_router_caution,stale_metadata,obvious,1.00,0.00,0.00,1.00,1.00,2
gpt-5.4-mini,dataframe_router_caution,stale_metadata,plausible,0.20,0.80,0.00,0.20,0.20,10
gpt-5.4-mini,dataframe_router_caution,stale_metadata,subtle,1.00,0.67,0.00,0.33,0.33,3
gpt-5.4-mini,dataframe_router_caution,treatment_control_flip,plausible,0.33,0.67,0.00,0.00,0.00,3
gpt-5.4-mini,dataframe_router_expectation_only,biased_retrieval,obvious,0.50,0.00,1.00,0.00,0.50,2
gpt-5.4-mini,dataframe_router_expectation_only,biased_retrieval,plausible,0.64,0.18,0.55,0.00,0.45,11
gpt-5.4-mini,dataframe_router_expectation_only,biased_retrieval,subtle,1.00,0.00,1.00,0.00,1.00,2
gpt-5.4-mini,dataframe_router_expectation_only,column_semantic_swap,obvious,1.00,1.00,0.00,0.00,0.00,3
gpt-5.4-mini,dataframe_router_expectation_only,column_semantic_swap,plausible,0.67,0.75,0.00,0.08,0.08,12
