job_id,event_index,mode,seeded,target_field,exposed,changed_aliases,residual_clean_aliases
v4_bike_04_primary_full,0,full,True,True,True,3,0
v4_bike_05_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_03_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_06_primary_partial,0,partial,True,True,True,1,2
v4_penguins_07_primary_full,0,full,True,True,True,3,0
v4_penguins_04_primary_full,0,full,True,True,True,3,0
v4_penguins_02_primary_full,0,full,True,True,True,3,0
v4_bike_01_primary_partial,0,partial,True,True,True,1,2
v4_bike_03_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_02_primary_clean,0,clean,True,True,False,0,3
v4_penguins_08_primary_clean,0,clean,True,True,False,0,3
v4_auto_mpg_04_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_01_primary_clean,0,clean,True,True,False,0,3
v4_penguins_02_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_02_primary_partial,0,partial,True,True,True,1,2
v4_bike_03_primary_full,0,full,True,True,True,3,0
v4_penguins_03_primary_full,0,full,True,True,True,3,0
v4_penguins_07_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_05_primary_partial,0,partial,True,True,True,1,2
v4_bike_04_primary_partial,0,partial,True,True,True,1,2
v4_penguins_06_primary_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_primary_clean,0,clean,True,True,False,0,3
v4_penguins_02_primary_clean,0,clean,True,True,False,0,3
v4_bike_01_primary_clean,0,clean,True,True,False,0,3
v4_penguins_06_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_05_primary_full,0,full,True,True,True,3,0
v4_penguins_03_primary_clean,0,clean,True,True,False,0,3
v4_bike_05_primary_clean,0,clean,True,True,False,0,3
v4_bike_01_primary_full,0,full,True,True,True,3,0
v4_bike_05_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_07_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_04_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_02_primary_full,0,full,True,True,True,3,0
v4_bike_06_primary_clean,0,clean,True,True,False,0,3
v4_penguins_05_primary_clean,0,clean,True,True,False,0,3
v4_penguins_05_primary_full,0,full,True,True,True,3,0
v4_bike_08_primary_full,0,full,True,True,True,3,0
v4_penguins_08_primary_partial,0,partial,True,True,True,1,2
v4_penguins_04_primary_partial,0,partial,True,True,True,1,2
v4_bike_08_primary_clean,0,clean,True,True,False,0,3
v4_bike_08_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_07_primary_partial,0,partial,True,True,True,1,2
v4_bike_07_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_03_primary_partial,0,partial,True,True,True,1,2
v4_bike_02_primary_full,0,full,True,True,True,3,0
v4_bike_07_primary_clean,0,clean,True,True,False,0,3
v4_penguins_03_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_05_primary_clean,0,clean,True,True,False,0,3
v4_penguins_04_primary_clean,0,clean,True,True,False,0,3
v4_penguins_01_primary_full,0,full,True,True,True,3,0
v4_bike_06_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_08_primary_partial,0,partial,True,True,True,1,2
v4_penguins_08_primary_full,0,full,True,True,True,3,0
v4_penguins_01_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_01_primary_partial,0,partial,True,True,True,1,2
v4_bike_02_primary_partial,0,partial,True,True,True,1,2
v4_bike_06_primary_partial,0,partial,True,True,True,1,2
v4_bike_04_primary_clean,0,clean,True,True,False,0,3
v4_bike_07_primary_full,0,full,True,True,True,3,0
v4_bike_03_primary_clean,0,clean,True,True,False,0,3
v4_bike_02_primary_clean,0,clean,True,True,False,0,3
v4_penguins_05_primary_partial,0,partial,True,True,True,1,2
v4_auto_mpg_06_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_01_primary_full,0,full,True,True,True,3,0
v4_auto_mpg_07_primary_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_primary_full,0,full,True,True,True,3,0
v4_penguins_07_primary_clean,0,clean,True,True,False,0,3
v4_penguins_01_primary_clean,0,clean,True,True,False,0,3
v4_auto_mpg_03_primary_clean,0,clean,True,True,False,0,3
v4_auto_mpg_04_primary_clean,0,clean,True,True,False,0,3
v4_auto_mpg_06_primary_clean,0,clean,True,True,False,0,3
v4_penguins_06_primary_partial,0,partial,True,True,True,1,2
v4_penguins_02_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_02_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_04_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_04_retry_2_full,0,full,True,True,True,3,0
v4_bike_04_verify_1_clean,0,clean,True,True,False,0,3
v4_bike_04_verify_1_clean,1,clean,False,False,False,0,0
v4_auto_mpg_08_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_06_retry_2_full,0,full,True,True,True,3,0
v4_penguins_05_verify_2_clean,0,clean,True,True,False,0,3
v4_penguins_06_retry_1_full,0,full,True,True,True,3,0
v4_penguins_04_retry_2_full,0,full,True,True,True,3,0
v4_auto_mpg_06_verify_2_full,0,full,True,True,True,3,0
v4_penguins_08_verify_1_full,0,full,True,True,True,3,0
v4_bike_03_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_06_retry_1_full,0,full,True,True,True,3,0
v4_bike_07_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_07_verify_2_clean,1,clean,False,False,False,0,0
v4_bike_07_verify_2_clean,2,clean,False,False,False,0,0
v4_bike_07_verify_2_clean,3,clean,False,False,False,0,0
v4_bike_07_verify_2_clean,4,clean,False,False,False,0,0
v4_bike_07_verify_2_clean,5,clean,False,False,False,0,0
v4_auto_mpg_07_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_verify_2_full,0,full,True,True,True,3,0
v4_auto_mpg_01_retry_1_full,0,full,True,True,True,3,0
v4_penguins_01_verify_1_full,0,full,True,True,True,3,0
v4_penguins_03_verify_2_full,0,full,True,True,True,3,0
v4_bike_08_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_07_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_04_verify_2_full,0,full,True,True,True,3,0
v4_auto_mpg_06_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_02_verify_2_full,0,full,True,True,True,3,0
v4_bike_06_verify_1_full,0,full,True,True,True,3,0
v4_penguins_03_retry_2_full,0,full,True,True,True,3,0
v4_auto_mpg_07_verify_1_full,0,full,True,True,True,3,0
v4_bike_06_verify_2_full,0,full,True,True,True,3,0
v4_bike_04_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_04_verify_2_clean,1,clean,False,False,False,0,0
v4_penguins_08_retry_2_full,0,full,True,True,True,3,0
v4_penguins_03_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_05_retry_1_full,0,full,True,True,True,3,0
v4_penguins_06_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_03_verify_1_full,0,full,True,True,True,3,0
v4_bike_06_retry_2_full,0,full,True,True,True,3,0
v4_auto_mpg_04_verify_1_full,0,full,True,True,True,3,0
v4_auto_mpg_02_retry_2_full,0,full,True,True,True,3,0
v4_penguins_07_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_01_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_06_retry_2_full,0,full,True,True,True,3,0
v4_penguins_06_verify_2_full,0,full,True,True,True,3,0
v4_bike_01_verify_2_full,0,full,True,True,True,3,0
v4_auto_mpg_03_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_08_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_07_retry_2_full,0,full,True,True,True,3,0
v4_bike_02_verify_2_clean,0,clean,True,True,False,0,3
v4_penguins_06_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_01_retry_2_full,0,full,True,True,True,3,0
v4_auto_mpg_03_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_05_verify_1_full,0,full,True,True,True,3,0
v4_auto_mpg_03_verify_1_full,0,full,True,True,True,3,0
v4_bike_02_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_01_retry_2_clean,0,clean,True,True,False,0,3
v4_penguins_03_verify_2_clean,0,clean,True,True,False,0,3
v4_penguins_07_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_06_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_06_verify_2_clean,1,clean,False,False,False,0,0
v4_bike_04_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_03_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_03_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_05_retry_2_full,0,full,True,True,True,3,0
v4_bike_05_verify_1_clean,0,clean,True,True,False,0,3
v4_penguins_07_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_08_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_04_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_02_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_05_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_05_verify_2_clean,1,clean,False,False,False,0,0
v4_penguins_08_retry_1_clean,0,clean,True,True,False,0,3
v4_bike_05_retry_1_clean,0,clean,True,True,False,0,3
v4_bike_04_retry_2_full,0,full,True,True,True,3,0
v4_bike_06_verify_1_clean,0,clean,True,True,False,0,3
v4_bike_06_verify_1_clean,1,clean,False,False,False,0,0
v4_auto_mpg_05_verify_2_full,0,full,True,True,True,3,0
v4_penguins_04_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_05_retry_2_clean,0,clean,True,True,False,0,3
v4_penguins_04_retry_1_clean,0,clean,True,True,False,0,3
v4_bike_07_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_02_verify_1_full,0,full,True,True,True,3,0
v4_auto_mpg_03_verify_2_full,0,full,True,True,True,3,0
v4_bike_04_verify_2_full,0,full,True,True,True,3,0
v4_penguins_05_retry_2_full,0,full,True,True,True,3,0
v4_penguins_04_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_06_retry_1_clean,0,clean,True,True,False,0,3
v4_bike_05_retry_1_full,0,full,True,True,True,3,0
v4_penguins_01_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_07_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_01_verify_1_full,0,full,True,True,True,3,0
v4_penguins_02_verify_1_clean,0,clean,True,True,False,0,3
v4_penguins_01_retry_1_full,0,full,True,True,True,3,0
v4_bike_04_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_retry_2_full,0,full,True,True,True,3,0
v4_penguins_06_verify_1_clean,0,clean,True,True,False,0,3
v4_penguins_07_verify_1_clean,0,clean,True,True,False,0,3
v4_penguins_03_verify_1_full,0,full,True,True,True,3,0
v4_bike_07_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_02_verify_1_clean,0,clean,True,True,False,0,3
v4_penguins_01_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_08_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_03_verify_1_clean,0,clean,True,True,False,0,3
v4_penguins_07_verify_2_full,0,full,True,True,True,3,0
v4_bike_07_verify_1_full,0,full,True,True,True,3,0
v4_penguins_02_verify_2_full,0,full,True,True,True,3,0
v4_bike_04_retry_1_full,0,full,True,True,True,3,0
v4_bike_02_retry_2_full,0,full,True,True,True,3,0
v4_penguins_01_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_retry_1_full,0,full,True,True,True,3,0
v4_penguins_05_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_verify_1_full,0,full,True,True,True,3,0
v4_bike_02_retry_2_clean,0,clean,True,True,False,0,3
v4_penguins_08_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_06_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_06_verify_2_clean,1,clean,False,False,False,0,0
v4_bike_01_verify_1_full,0,full,True,True,True,3,0
v4_auto_mpg_04_retry_1_clean,0,clean,True,True,False,0,3
v4_bike_05_verify_2_full,0,full,True,True,True,3,0
v4_auto_mpg_02_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_08_retry_1_full,0,full,True,True,True,3,0
v4_bike_06_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_08_retry_2_full,0,full,True,True,True,3,0
v4_penguins_05_verify_2_full,0,full,True,True,True,3,0
v4_bike_01_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_04_verify_2_clean,0,clean,True,True,False,0,3
v4_bike_08_retry_2_clean,0,clean,True,True,False,0,3
v4_penguins_02_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_06_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_06_verify_1_clean,1,clean,False,False,False,0,0
v4_penguins_04_verify_1_full,0,full,True,True,True,3,0
v4_bike_06_retry_1_full,0,full,True,True,True,3,0
v4_penguins_07_verify_1_full,0,full,True,True,True,3,0
v4_penguins_07_retry_2_full,0,full,True,True,True,3,0
v4_penguins_03_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_08_retry_1_clean,0,clean,True,True,False,0,3
v4_bike_01_retry_2_clean,0,clean,True,True,False,0,3
v4_penguins_08_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_verify_1_clean,0,clean,True,True,False,0,3
v4_bike_05_verify_1_full,0,full,True,True,True,3,0
v4_bike_04_verify_1_full,0,full,True,True,True,3,0
v4_auto_mpg_02_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_07_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_03_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_01_verify_1_clean,0,clean,True,True,False,0,3
v4_bike_07_verify_2_full,0,full,True,True,True,3,0
v4_bike_01_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_01_retry_2_full,0,full,True,True,True,3,0
v4_penguins_02_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_06_verify_1_full,0,full,True,True,True,3,0
v4_penguins_04_retry_2_clean,0,clean,True,True,False,0,3
v4_bike_08_verify_2_full,0,full,True,True,True,3,0
v4_bike_03_verify_2_full,0,full,True,True,True,3,0
v4_auto_mpg_01_retry_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_01_verify_2_full,0,full,True,True,True,3,0
v4_penguins_08_verify_2_full,0,full,True,True,True,3,0
v4_bike_03_retry_2_full,0,full,True,True,True,3,0
v4_auto_mpg_02_verify_2_clean,0,clean,True,True,False,0,3
v4_penguins_01_retry_2_full,0,full,True,True,True,3,0
v4_penguins_01_verify_2_full,0,full,True,True,True,3,0
v4_auto_mpg_03_retry_2_full,0,full,True,True,True,3,0
v4_auto_mpg_04_verify_1_clean,0,clean,True,True,False,0,3
v4_bike_02_verify_2_full,0,full,True,True,True,3,0
v4_bike_05_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_02_retry_1_full,0,full,True,True,True,3,0
v4_bike_08_verify_1_full,0,full,True,True,True,3,0
v4_penguins_05_verify_1_full,0,full,True,True,True,3,0
v4_bike_05_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_07_verify_2_full,0,full,True,True,True,3,0
v4_penguins_05_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_01_verify_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_05_retry_2_full,0,full,True,True,True,3,0
v4_penguins_05_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_07_retry_1_full,0,full,True,True,True,3,0
v4_auto_mpg_05_verify_1_clean,0,clean,True,True,False,0,3
v4_auto_mpg_08_verify_2_clean,0,clean,True,True,False,0,3
v4_penguins_02_verify_1_full,0,full,True,True,True,3,0
v4_bike_03_retry_1_clean,0,clean,True,True,False,0,3
