adapter,metric,legacy_commit,old_value,revised_value,delta
langgraph_react_full,clean_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.923729,0.991525,0.067797
langgraph_react_full,toxic_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.830508,0.889831,0.059322
langgraph_react_full,toxic_bcr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.111111,0.090909,-0.020202
langgraph_react_full,toxic_par,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.272727,0.090909,-0.181818
langgraph_react_full,toxic_vpa,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.151515,0.000000,-0.151515
langgraph_react_full,toxic_vr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.464646,0.464646,0.000000
langgraph_react_full,toxic_rr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.464646,0.444444,-0.020202
langgraph_react_double_pass,clean_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.923729,0.991525,0.067797
langgraph_react_double_pass,toxic_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.932203,1.000000,0.067797
langgraph_react_double_pass,toxic_bcr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.009901,0.000000,-0.009901
langgraph_react_double_pass,toxic_par,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.168317,0.000000,-0.168317
langgraph_react_double_pass,toxic_vpa,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.158416,0.000000,-0.158416
langgraph_react_double_pass,toxic_vr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.980198,0.980198,0.000000
langgraph_react_double_pass,toxic_rr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.970297,0.980198,0.009901
langgraph_react_verification_only,clean_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.932203,0.923729,-0.008475
langgraph_react_verification_only,toxic_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.932203,0.898305,-0.033898
langgraph_react_verification_only,toxic_bcr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.019802,0.000000,-0.019802
langgraph_react_verification_only,toxic_par,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.287129,0.009901,-0.277228
langgraph_react_verification_only,toxic_vpa,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.267327,0.009901,-0.257426
langgraph_react_verification_only,toxic_vr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.970297,0.970297,0.000000
langgraph_react_verification_only,toxic_rr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.960396,0.861386,-0.099010
langgraph_react_guarded,clean_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.940678,0.983051,0.042373
langgraph_react_guarded,toxic_tsr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.940678,0.974576,0.033898
langgraph_react_guarded,toxic_bcr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.000000,0.000000,0.000000
langgraph_react_guarded,toxic_par,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.240385,0.000000,-0.240385
langgraph_react_guarded,toxic_vpa,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.240385,0.000000,-0.240385
langgraph_react_guarded,toxic_vr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.971154,0.971154,0.000000
langgraph_react_guarded,toxic_rr,f0aa054dccc9437dcf89f0b22a01825e2772be66,0.951923,0.942308,-0.009615
