suite,model,adapter,environment,n,elapsed_n,elapsed_coverage,mean_elapsed_seconds,p50_elapsed_seconds,p90_elapsed_seconds,avg_tool_events,avg_raw_actions,avg_final_chars
numerical,gpt-5.4-mini,data2mcp_dataframe,clean,60,0,0.00,0.00,0.00,0.00,1.10,1.00,209.67
numerical,gpt-5.4-mini,data2mcp_dataframe,toxic,60,0,0.00,0.00,0.00,0.00,1.22,1.00,253.50
numerical,gpt-5.4-mini,data2mcp_dataframe_caution,clean,60,0,0.00,0.00,0.00,0.00,1.67,2.00,244.42
numerical,gpt-5.4-mini,data2mcp_dataframe_caution,toxic,60,0,0.00,0.00,0.00,0.00,1.52,2.00,305.75
numerical,gpt-5.4-mini,data2mcp_dataframe_expectation_only,clean,60,0,0.00,0.00,0.00,0.00,1.07,2.00,160.92
numerical,gpt-5.4-mini,data2mcp_dataframe_expectation_only,toxic,60,0,0.00,0.00,0.00,0.00,1.07,2.00,172.53
numerical,gpt-5.4-mini,data2mcp_dataframe_guarded,clean,60,0,0.00,0.00,0.00,0.00,3.08,3.00,197.35
numerical,gpt-5.4-mini,data2mcp_dataframe_guarded,toxic,60,0,0.00,0.00,0.00,0.00,2.97,3.00,206.25
numerical,gpt-5.4-mini,data2mcp_dataframe_guarded_light,clean,60,0,0.00,0.00,0.00,0.00,2.93,3.00,238.93
numerical,gpt-5.4-mini,data2mcp_dataframe_guarded_light,toxic,60,0,0.00,0.00,0.00,0.00,2.78,3.00,219.87
numerical,gpt-5.4-mini,data2mcp_dataframe_verification_only,clean,60,0,0.00,0.00,0.00,0.00,2.35,3.00,157.75
numerical,gpt-5.4-mini,data2mcp_dataframe_verification_only,toxic,60,0,0.00,0.00,0.00,0.00,2.58,3.00,162.93
realistic_extension,gpt-5.4-mini,data2mcp_dataframe,clean,13,13,1.00,24.43,25.04,28.25,4.08,1.00,87.23
realistic_extension,gpt-5.4-mini,data2mcp_dataframe,toxic,13,13,1.00,25.08,25.87,30.70,4.62,1.00,146.69
semantic_schema,gpt-5.4-mini,data2mcp_dataframe,clean,60,0,0.00,0.00,0.00,0.00,1.40,1.00,261.47
semantic_schema,gpt-5.4-mini,data2mcp_dataframe,toxic,60,0,0.00,0.00,0.00,0.00,1.28,1.00,239.80
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_caution,clean,60,0,0.00,0.00,0.00,0.00,1.48,2.00,242.28
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_caution,toxic,60,0,0.00,0.00,0.00,0.00,1.62,2.00,265.05
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_expectation_only,clean,60,0,0.00,0.00,0.00,0.00,1.02,2.00,192.03
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_expectation_only,toxic,60,0,0.00,0.00,0.00,0.00,1.03,2.00,257.35
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_guarded,clean,60,0,0.00,0.00,0.00,0.00,3.07,3.00,224.72
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_guarded,toxic,60,0,0.00,0.00,0.00,0.00,3.18,3.00,215.55
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_guarded_light,clean,60,0,0.00,0.00,0.00,0.00,2.95,3.00,237.87
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_guarded_light,toxic,60,0,0.00,0.00,0.00,0.00,3.03,3.00,219.82
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_verification_only,clean,60,0,0.00,0.00,0.00,0.00,2.62,3.00,180.10
semantic_schema,gpt-5.4-mini,data2mcp_dataframe_verification_only,toxic,60,0,0.00,0.00,0.00,0.00,2.73,3.00,169.47
semantic_schema,gpt-5.4-mini,langgraph_react_verification_only,clean,10,10,1.00,19.74,16.31,24.98,3.60,8.90,157.90
semantic_schema,gpt-5.4-mini,langgraph_react_verification_only,toxic,10,10,1.00,17.72,17.16,22.65,3.70,8.80,161.00
