sample_id,pair_id,final_correct,adopted_poisoned,anomaly_detected,substantive_validation,recovered_clean,ambiguous,notes
VAL2-001,PAIR-055,,,,,,,
VAL2-002,PAIR-091,,,,,,,
VAL2-003,PAIR-073,,,,,,,
VAL2-004,PAIR-002,,,,,,,
VAL2-005,PAIR-014,,,,,,,
VAL2-006,PAIR-092,,,,,,,
VAL2-007,PAIR-054,,,,,,,
VAL2-008,PAIR-031,,,,,,,
VAL2-009,PAIR-021,,,,,,,
VAL2-010,PAIR-018,,,,,,,
VAL2-011,PAIR-052,,,,,,,
VAL2-012,PAIR-001,,,,,,,
VAL2-013,PAIR-086,,,,,,,
VAL2-014,PAIR-070,,,,,,,
VAL2-015,PAIR-088,,,,,,,
VAL2-016,PAIR-027,,,,,,,
VAL2-017,PAIR-003,,,,,,,
VAL2-018,PAIR-004,,,,,,,
VAL2-019,PAIR-071,,,,,,,
VAL2-020,PAIR-050,,,,,,,
VAL2-021,PAIR-078,,,,,,,
VAL2-022,PAIR-036,,,,,,,
VAL2-023,PAIR-022,,,,,,,
VAL2-024,PAIR-061,,,,,,,
VAL2-025,PAIR-090,,,,,,,
VAL2-026,PAIR-032,,,,,,,
VAL2-027,PAIR-066,,,,,,,
VAL2-028,PAIR-045,,,,,,,
VAL2-029,PAIR-007,,,,,,,
VAL2-030,PAIR-053,,,,,,,
VAL2-031,PAIR-044,,,,,,,
VAL2-032,PAIR-035,,,,,,,
VAL2-033,PAIR-025,,,,,,,
VAL2-034,PAIR-069,,,,,,,
VAL2-035,PAIR-065,,,,,,,
VAL2-036,PAIR-053,,,,,,,
VAL2-037,PAIR-001,,,,,,,
VAL2-038,PAIR-078,,,,,,,
VAL2-039,PAIR-020,,,,,,,
VAL2-040,PAIR-074,,,,,,,
VAL2-041,PAIR-012,,,,,,,
VAL2-042,PAIR-038,,,,,,,
VAL2-043,PAIR-017,,,,,,,
VAL2-044,PAIR-048,,,,,,,
VAL2-045,PAIR-004,,,,,,,
VAL2-046,PAIR-100,,,,,,,
VAL2-047,PAIR-034,,,,,,,
VAL2-048,PAIR-041,,,,,,,
VAL2-049,PAIR-060,,,,,,,
VAL2-050,PAIR-036,,,,,,,
VAL2-051,PAIR-029,,,,,,,
VAL2-052,PAIR-062,,,,,,,
VAL2-053,PAIR-076,,,,,,,
VAL2-054,PAIR-098,,,,,,,
VAL2-055,PAIR-028,,,,,,,
VAL2-056,PAIR-005,,,,,,,
VAL2-057,PAIR-063,,,,,,,
VAL2-058,PAIR-060,,,,,,,
VAL2-059,PAIR-019,,,,,,,
VAL2-060,PAIR-038,,,,,,,
