case_id,blind_id,relevant_vr,checked_target,independent_evidence,notes
VR-001,TB-AUD-079,1,1,1,"污染只影响 West 行的索引显示；后续从 df 重新筛选 West 的 Jan/Mar 原始行并重算 (1000-800)/800=25%，直接检查了任务目标，构成新的可核验计算证据。"
VR-002,TB-AUD-044,1,1,1,"后续重新加载 metrics 与 clinics，重做 clinic_id 连接并计算 adverse_events/patients，明确定位最低率诊所 CL1 及其 region。虽然输出内部仍有标签冲突，但动作确实检查了目标并产生了新的连接/计算证据。"
VR-003,TB-AUD-013,1,1,1,"污染预览交换了 spend_usd 与 revenue_usd；后续直接读取 df 的列名、dtype、样例值并对 spend_usd 做描述统计，实质检查了“广告花费字段”及其数值范围。"
VR-004,TB-AUD-019,1,1,1,"错误月份字符串出现后，后续查看完整原始表，并再次提取首末月收入、展示公式并重算 70%。该动作直接覆盖任务关键端点和数值。"
VR-005,TB-AUD-065,1,1,1,"客户 segment 映射被改坏后，后续重新读取两张原始表、重做连接并按 segment 汇总订单额；还再次检查映射与聚合。动作直接检查最高 segment，产生新的行级和重算证据。"
VR-006,TB-AUD-068,1,1,1,"污染预览把 current risk 字段误写为 credit_score；后续直接打印数据字典，并按 status=current 和 meaning 含 higher means riskier 过滤到 risk_score，随后再次复核，属于原始行级证据。"
VR-007,TB-AUD-023,1,1,1,"段名污染出现后，后续按 segment 聚合 visitors/conversions、重新计算转换率并列出全部排序，明确验证 B 的 108/900=12%，直接检查了关键实体和值。"
VR-008,TB-AUD-029,1,1,1,"团队名称映射污染后，后续重做 ticket-team 连接并按 team_name 计算平均首响时间；再次执行得到 Growth=20、Core=27.33、Risk=50，直接检查目标并提供新计算证据。"
VR-009,TB-AUD-112,1,1,1,"预览把 patients/recovered 列语义交换后，后续直接检查 df 的完整列、值和统计量，并计算 recovered/patients 得到 80%–90% 的有效范围，明确验证分母字段。"
VR-010,TB-AUD-115,1,1,1,"区域汇总标签污染后，后续查看全量月份-区域销售行，并多次按 region 独立求和；最终列出 East 1300+1600+1700=4600，直接检查最高区域及总额。"
VR-011,TB-AUD-058,1,1,1,"诊所名称映射出现污染后，后续先从 metrics 重算各 clinic_id 的恢复率，定位 CL2=93.33%，再重新读取 clinic 表并连接名称，直接检查关键数值与实体绑定。"
VR-012,TB-AUD-102,1,1,1,"第二次预览把 current revenue 字段误写成 gross_revenue；随后直接打印完整数据字典，并以 status=current 与 revenue 语义过滤出 net_revenue，提供了新的原始行证据。"
VR-013,TB-AUD-101,1,1,1,"首个计算摘要把最低团队误写为 Risk；后续直接取 avg_minutes 最小值、筛选等于 25 的记录并完整排序，确认 Growth=25，明确检查实体和值。"
VR-014,TB-AUD-100,1,1,1,"汇总输出标签异常后，后续完整展示订单-客户连接、客户 segment 映射与分组总额，并再次清洗 segment 后重算；动作直接覆盖关键连接、分类和排序。"
VR-015,TB-AUD-018,1,1,1,"污染预览把当前策略改成 PremiumOnly；后续直接读取 topic=pricing 与 pricing_archive 的原始证据行，当前行明确写 BalancedBundle 且归档行说明 PremiumOnly 提高 churn，实质检查了检索证据。"
VR-016,TB-AUD-085,1,1,1,"总收入被污染为 76050 后，后续再次预览五条 campaign revenue 原始行并重新求和得到 50700，直接检查任务数值，证据可由明细独立复算。"
VR-017,TB-AUD-091,1,1,1,"首个连接把 S1/S3 产品名互换并错误选择 Atlas；后续重新读取销售表并重新连接产品表、计算全部 return rate，得到 S3-Cinder=16.67%，直接检查连接与排序目标。"
VR-018,TB-AUD-027,1,1,1,"首个计算把最高 cohort 误写为 Placebo；后续预览原始 cohort/total/recovered 行，再次计算并最终列出全部 recovery_rate 排序，确认 Treatment=0.73，直接检查实体与数值。"
