sample_id,task_id,source,reason,original_human_tsr
HOLD-025,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-026,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-027,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-120030_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-028,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-120030_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-029,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-113938_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-030,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-113938_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-031,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-121905_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-032,num_iclr2027_ad_best_channel_038,toxictool_bench/results/20260829-121905_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-033,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-034,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-035,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-120030_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-036,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-120030_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-037,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-113938_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-038,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-113938_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-039,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-121905_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-040,num_iclr2027_ad_conversion_035,toxictool_bench/results/20260829-121905_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-041,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-042,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-112921_langgraph_react_full_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-043,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-120030_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-044,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-120030_langgraph_react_double_pass_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-045,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-113938_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-046,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-113938_langgraph_react_verification_only_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-047,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-121905_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-048,num_iclr2027_ad_ctr_036,toxictool_bench/results/20260829-121905_langgraph_react_guarded_claude-haiku-4-5-20251001_both_start20_limit20.jsonl,reference_erratum_requires_human_recheck,0
HOLD-167,num_iclr2027_ad_best_channel_038,toxictool_bench/results/verification_stress/numerical_iclr2027/p100/20260830-175407_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start35_limit5.jsonl,reference_erratum_requires_human_recheck,0
