suite,adapter,start_index,limit,tasks,rows,path
semantic_schema_iclr2027,data2mcp_dataframe,0,5,5,10,toxictool_bench/results/20260719-192536_data2mcp_dataframe_gpt-5.4-mini_both.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,5,5,5,10,toxictool_bench/results/20260719-210620_data2mcp_dataframe_gpt-5.4-mini_both_start5_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,10,5,5,10,toxictool_bench/results/20260719-222150_data2mcp_dataframe_gpt-5.4-mini_both_start10_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,15,5,5,10,toxictool_bench/results/20260719-232226_data2mcp_dataframe_gpt-5.4-mini_both_start15_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,20,5,5,10,toxictool_bench/results/20260720-003238_data2mcp_dataframe_gpt-5.4-mini_both_start20_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,25,5,5,10,toxictool_bench/results/20260720-014849_data2mcp_dataframe_gpt-5.4-mini_both_start25_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,30,5,5,10,toxictool_bench/results/20260720-030425_data2mcp_dataframe_gpt-5.4-mini_both_start30_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,35,5,5,10,toxictool_bench/results/20260720-141047_data2mcp_dataframe_gpt-5.4-mini_both_start35_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,40,5,5,10,toxictool_bench/results/20260720-153420_data2mcp_dataframe_gpt-5.4-mini_both_start40_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,45,5,5,10,toxictool_bench/results/20260720-224029_data2mcp_dataframe_gpt-5.4-mini_both_start45_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe,50,5,5,10,toxictool_bench/results/20260721-000315_data2mcp_dataframe_gpt-5.4-mini_both_start50_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe_caution,0,5,5,10,toxictool_bench/results/20260719-192839_data2mcp_dataframe_caution_gpt-5.4-mini_both.jsonl
semantic_schema_iclr2027,data2mcp_dataframe_caution,5,5,5,10,toxictool_bench/results/20260719-210908_data2mcp_dataframe_caution_gpt-5.4-mini_both_start5_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe_caution,10,5,5,10,toxictool_bench/results/20260719-222424_data2mcp_dataframe_caution_gpt-5.4-mini_both_start10_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe_caution,15,5,5,10,toxictool_bench/results/20260719-232506_data2mcp_dataframe_caution_gpt-5.4-mini_both_start15_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe_caution,20,5,5,10,toxictool_bench/results/20260720-003633_data2mcp_dataframe_caution_gpt-5.4-mini_both_start20_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe_caution,25,5,5,10,toxictool_bench/results/20260720-015207_data2mcp_dataframe_caution_gpt-5.4-mini_both_start25_limit5.jsonl
semantic_schema_iclr2027,data2mcp_dataframe_caution,30,5,5,10,toxictool_bench/results/20260720-030815_data2mcp_dataframe_caution_gpt-5.4-mini_both_start30_limit5.jsonl
