sample_id,pair_id,final_correct,adopted_poisoned,anomaly_detected,substantive_validation,recovered_clean,ambiguous,notes
ERR-031,PAIR-102,,,,,,,
ERR-021,PAIR-023,,,,,,,
ERR-026,PAIR-084,,,,,,,
ERR-003,PAIR-014,,,,,,,
ERR-009,PAIR-017,,,,,,,
ERR-039,PAIR-109,,,,,,,
ERR-019,PAIR-022,,,,,,,
ERR-025,PAIR-084,,,,,,,
ERR-028,PAIR-085,,,,,,,
ERR-034,PAIR-104,,,,,,,
ERR-004,PAIR-014,,,,,,,
ERR-023,PAIR-024,,,,,,,
ERR-018,PAIR-021,,,,,,,
ERR-029,PAIR-086,,,,,,,
ERR-011,PAIR-018,,,,,,,
ERR-038,PAIR-107,,,,,,,
ERR-013,PAIR-019,,,,,,,
ERR-037,PAIR-107,,,,,,,
ERR-017,PAIR-021,,,,,,,
ERR-012,PAIR-018,,,,,,,
ERR-033,PAIR-104,,,,,,,
ERR-006,PAIR-015,,,,,,,
ERR-007,PAIR-016,,,,,,,
ERR-014,PAIR-019,,,,,,,
ERR-024,PAIR-024,,,,,,,
ERR-040,PAIR-109,,,,,,,
ERR-035,PAIR-105,,,,,,,
ERR-010,PAIR-017,,,,,,,
ERR-001,PAIR-013,,,,,,,
ERR-030,PAIR-086,,,,,,,
ERR-027,PAIR-085,,,,,,,
ERR-015,PAIR-020,,,,,,,
ERR-005,PAIR-015,,,,,,,
ERR-002,PAIR-013,,,,,,,
ERR-022,PAIR-023,,,,,,,
ERR-008,PAIR-016,,,,,,,
ERR-032,PAIR-102,,,,,,,
ERR-016,PAIR-020,,,,,,,
ERR-020,PAIR-022,,,,,,,
ERR-036,PAIR-105,,,,,,,
