split,rater,metric,n_eligible,n_pending,n_ambiguous,n,tp,fp,fn,tn,agreement,kappa,precision,recall,f1
all,annotator_a,TSR,240,0,0,240,161,30,7,42,0.8458333333333333,0.5960698689956332,0.8429319371727748,0.9583333333333334,0.8969359331476323
all,annotator_b,TSR,240,0,0,240,179,12,2,47,0.9416666666666667,0.8331512563313139,0.93717277486911,0.988950276243094,0.9623655913978495
all,consensus,TSR,240,0,0,240,191,0,2,47,0.9916666666666667,0.9739611587284367,1.0,0.9896373056994818,0.9947916666666666
all,annotator_a,PAR,94,0,0,94,4,3,0,87,0.9680851063829787,0.7116564417177916,0.5714285714285714,1.0,0.7272727272727273
all,annotator_b,PAR,94,0,0,94,7,0,0,87,1.0,1.0,1.0,1.0,1.0
all,consensus,PAR,94,0,0,94,7,0,0,87,1.0,1.0,1.0,1.0,1.0
all,annotator_a,BCR,94,0,0,94,1,2,0,91,0.9787234042553191,0.4918918918918917,0.3333333333333333,1.0,0.5
all,annotator_b,BCR,94,0,0,94,3,0,0,91,1.0,1.0,1.0,1.0,1.0
all,consensus,BCR,94,0,0,94,3,0,0,91,1.0,1.0,1.0,1.0,1.0
all,annotator_a,ADR,94,0,0,94,2,1,0,91,0.9893617021276596,0.7947598253275117,0.6666666666666666,1.0,0.8
all,annotator_b,ADR,94,0,0,94,2,1,26,65,0.7127659574468085,0.07574654042243258,0.6666666666666666,0.07142857142857142,0.12903225806451613
all,consensus,ADR,94,0,0,94,2,1,2,89,0.9680851063829787,0.555205047318612,0.6666666666666666,0.5,0.5714285714285714
all,annotator_a,VR,94,0,0,94,80,0,1,13,0.9893617021276596,0.956761729530819,1.0,0.9876543209876543,0.9937888198757764
all,annotator_b,VR,94,0,0,94,80,0,1,13,0.9893617021276596,0.956761729530819,1.0,0.9876543209876543,0.9937888198757764
all,consensus,VR,94,0,0,94,80,0,1,13,0.9893617021276596,0.956761729530819,1.0,0.9876543209876543,0.9937888198757764
all,annotator_a,VPA,94,0,0,94,3,1,0,90,0.9893617021276596,0.8517350157728711,0.75,1.0,0.8571428571428571
all,annotator_b,VPA,94,0,0,94,4,0,0,90,1.0,1.0,1.0,1.0,1.0
all,consensus,VPA,94,0,0,94,4,0,0,90,1.0,1.0,1.0,1.0,1.0
all,annotator_a,RR,94,0,0,94,70,0,4,20,0.9574468085106383,0.8816120906801009,1.0,0.9459459459459459,0.9722222222222222
all,annotator_b,RR,94,0,0,94,70,0,2,22,0.9787234042553191,0.9424724602203182,1.0,0.9722222222222222,0.9859154929577465
all,consensus,RR,94,0,0,94,70,0,2,22,0.9787234042553191,0.9424724602203182,1.0,0.9722222222222222,0.9859154929577465
core,annotator_a,TSR,160,0,0,160,119,15,2,24,0.89375,0.6751075011944578,0.8880597014925373,0.9834710743801653,0.9333333333333333
core,annotator_b,TSR,160,0,0,160,126,8,2,24,0.9375,0.7899159663865546,0.9402985074626866,0.984375,0.9618320610687023
core,consensus,TSR,160,0,0,160,134,0,2,24,0.9875,0.9526066350710902,1.0,0.9852941176470589,0.9925925925925926
core,annotator_a,PAR,56,0,0,56,0,0,0,56,1.0,,,,
core,annotator_b,PAR,56,0,0,56,0,0,0,56,1.0,,,,
core,consensus,PAR,56,0,0,56,0,0,0,56,1.0,,,,
core,annotator_a,BCR,56,0,0,56,0,0,0,56,1.0,,,,
core,annotator_b,BCR,56,0,0,56,0,0,0,56,1.0,,,,
core,consensus,BCR,56,0,0,56,0,0,0,56,1.0,,,,
core,annotator_a,ADR,56,0,0,56,1,1,0,54,0.9821428571428571,0.6585365853658527,0.5,1.0,0.6666666666666666
core,annotator_b,ADR,56,0,0,56,1,1,15,39,0.7142857142857143,0.05084745762711852,0.5,0.0625,0.1111111111111111
core,consensus,ADR,56,0,0,56,1,1,1,53,0.9642857142857143,0.4814814814814817,0.5,0.5,0.5
core,annotator_a,VR,56,0,0,56,49,0,0,7,1.0,1.0,1.0,1.0,1.0
core,annotator_b,VR,56,0,0,56,49,0,0,7,1.0,1.0,1.0,1.0,1.0
