suite,poison_probability,adapter,start_index,limit,path
numerical_iclr2027,0.25,langgraph_react_verification_only,0,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-154515_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start0_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,5,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-154739_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start5_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,10,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-155036_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start10_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,15,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-155253_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start15_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,20,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-155436_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start20_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,25,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-155704_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start25_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,30,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-155851_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start30_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,35,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-160134_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start35_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,40,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-160353_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start40_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,45,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-160624_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start45_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,50,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-160909_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start50_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_verification_only,55,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-161245_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start55_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,0,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-161733_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start0_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,5,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-162443_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start5_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,10,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-162745_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start10_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,15,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-163618_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start15_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,20,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-164054_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start20_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,25,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-164621_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start25_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,30,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-164916_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start30_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,35,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-165223_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start35_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,40,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-165610_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start40_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,45,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-165927_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start45_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,50,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-170306_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start50_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_double_pass,55,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-170816_langgraph_react_double_pass_claude-haiku-4-5-20251001_toxic_start55_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,0,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-171329_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start0_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,5,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-171640_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start5_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,10,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-172017_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start10_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,15,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-172329_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start15_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,20,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-172656_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start20_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,25,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-173050_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start25_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,30,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-173446_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start30_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,35,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-173808_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start35_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,40,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-174134_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start40_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,45,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-174433_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start45_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,50,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-174744_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start50_limit5.jsonl
numerical_iclr2027,0.25,langgraph_react_guarded,55,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p025/20260830-175222_langgraph_react_guarded_claude-haiku-4-5-20251001_toxic_start55_limit5.jsonl
numerical_iclr2027,0.5,langgraph_react_verification_only,0,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p050/20260830-175722_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start0_limit5.jsonl
numerical_iclr2027,0.5,langgraph_react_verification_only,5,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p050/20260830-175921_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start5_limit5.jsonl
numerical_iclr2027,0.5,langgraph_react_verification_only,10,5,toxictool_bench/results/verification_stress/numerical_iclr2027/p050/20260830-180213_langgraph_react_verification_only_claude-haiku-4-5-20251001_toxic_start10_limit5.jsonl
