experiment,suite,variant,tasks,source
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-133726_langgraph_react_full_gpt-5.4-mini_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-134758_smolagents_toolcalling_gpt-5.4-mini_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-130327_pandasai_dataframe_gpt-5.4-mini_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-124859_autogen_tool_agent_gpt-5.4-mini_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-130859_da_agent_full_gpt-5.4-mini_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-160205_langgraph_react_full_claude-sonnet-4-6_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-161144_smolagents_toolcalling_claude-sonnet-4-6_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-170254_pandasai_dataframe_claude-sonnet-4-6_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-171009_autogen_tool_agent_claude-sonnet-4-6_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-180904_langgraph_react_full_Qwen3.6-35B-A3B-no-thinking_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-181347_smolagents_toolcalling_Qwen3.6-35B-A3B-no-thinking_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-191325_pandasai_dataframe_Qwen3.6-35B-A3B-no-thinking_both.jsonl
cross_model,numerical,,toxictool_bench/tasks/numerical_expanded.jsonl,toxictool_bench/results/20260707-191533_autogen_tool_agent_Qwen3.6-35B-A3B-no-thinking_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-151320_langgraph_react_full_gpt-5.4-mini_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-152215_smolagents_toolcalling_gpt-5.4-mini_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-154035_pandasai_dataframe_gpt-5.4-mini_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-154417_autogen_tool_agent_gpt-5.4-mini_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-174634_langgraph_react_full_claude-sonnet-4-6_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-175313_smolagents_toolcalling_claude-sonnet-4-6_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-181538_pandasai_dataframe_claude-sonnet-4-6_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-181929_autogen_tool_agent_claude-sonnet-4-6_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-183020_langgraph_react_full_Qwen3.6-35B-A3B-no-thinking_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-183447_smolagents_toolcalling_Qwen3.6-35B-A3B-no-thinking_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-193637_pandasai_dataframe_Qwen3.6-35B-A3B-no-thinking_both.jsonl
cross_model,semantic_schema,,toxictool_bench/tasks/semantic_schema.jsonl,toxictool_bench/results/20260717-193925_autogen_tool_agent_Qwen3.6-35B-A3B-no-thinking_both.jsonl
expanded_gpt,numerical,,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260721-145704_langgraph_react_full_gpt-5.4-mini_both.jsonl
expanded_gpt,numerical,,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260721-152956_smolagents_toolcalling_gpt-5.4-mini_both.jsonl
expanded_gpt,numerical,,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260721-172417_autogen_tool_agent_gpt-5.4-mini_both.jsonl
expanded_gpt,semantic_schema,,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260721-182010_langgraph_react_full_gpt-5.4-mini_both.jsonl
expanded_gpt,semantic_schema,,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260721-184737_smolagents_toolcalling_gpt-5.4-mini_both.jsonl
expanded_gpt,semantic_schema,,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260721-203945_autogen_tool_agent_gpt-5.4-mini_both.jsonl
langgraph_guard,semantic_schema,Base,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260727-181936_langgraph_react_full_gpt-5.4-mini_both.jsonl
langgraph_guard,semantic_schema,Caution only,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260727-183533_langgraph_react_caution_gpt-5.4-mini_both.jsonl
