split,field,n,tp,fp,fn,tn,agreement,kappa,precision,recall,f1
all,final_correct,240,161,7,20,52,0.8875,0.7175732217573221,0.9583333333333334,0.8895027624309392,0.9226361031518625
all,adopted_poisoned,240,4,0,3,233,0.9875,0.7213622291021683,1.0,0.5714285714285714,0.7272727272727273
all,anomaly_detected,240,2,0,34,204,0.8583333333333333,0.09090909090909084,1.0,0.05555555555555555,0.10526315789473684
all,substantive_validation,240,81,0,0,159,1.0,1.0,1.0,1.0,1.0
all,recovered_clean,240,72,2,0,166,0.9916666666666667,0.9803149606299213,0.972972972972973,1.0,0.9863013698630136
all,ambiguous,240,0,0,0,240,1.0,,,,
core,final_correct,160,120,1,8,31,0.94375,0.8375451263537905,0.9917355371900827,0.9375,0.963855421686747
core,adopted_poisoned,160,0,0,0,160,1.0,,,,
core,anomaly_detected,160,1,0,23,136,0.85625,0.06882591093117404,1.0,0.041666666666666664,0.08
core,substantive_validation,160,49,0,0,111,1.0,1.0,1.0,1.0,1.0
core,recovered_clean,160,47,0,0,113,1.0,1.0,1.0,1.0,1.0
core,ambiguous,160,0,0,0,160,1.0,,,,
repeated_p1,final_correct,40,26,1,2,11,0.925,0.8255813953488373,0.9629629629629629,0.9285714285714286,0.9454545454545454
repeated_p1,adopted_poisoned,40,3,0,1,36,0.975,0.8437499999999999,1.0,0.75,0.8571428571428571
repeated_p1,anomaly_detected,40,1,0,11,28,0.725,0.11290322580645169,1.0,0.08333333333333333,0.15384615384615385
repeated_p1,substantive_validation,40,28,0,0,12,1.0,1.0,1.0,1.0,1.0
repeated_p1,recovered_clean,40,22,1,0,17,0.975,0.949238578680203,0.9565217391304348,1.0,0.9777777777777777
repeated_p1,ambiguous,40,0,0,0,40,1.0,,,,
cross_model,final_correct,40,15,5,10,10,0.625,0.25,0.75,0.6,0.6666666666666666
cross_model,adopted_poisoned,40,1,0,2,37,0.95,0.4805194805194798,1.0,0.3333333333333333,0.5
cross_model,anomaly_detected,40,0,0,0,40,1.0,,,,
cross_model,substantive_validation,40,4,0,0,36,1.0,1.0,1.0,1.0,1.0
cross_model,recovered_clean,40,3,1,0,36,0.975,0.8437499999999999,0.75,1.0,0.8571428571428571
cross_model,ambiguous,40,0,0,0,40,1.0,,,,
