dataset,stage,policy,mode,n,correct,TSR,adopted,PAR,exposed,alternative_query_runs,logical_requests
all,branch,retry,clean,48,48,1.0,0,0.0,0,0,48
all,branch,retry,full,48,0,0.0,48,1.0,48,0,52
all,branch,verify,clean,48,47,0.9791666666666666,0,0.0,0,10,89
all,branch,verify,full,48,0,0.0,46,0.9583333333333334,48,0,48
all,primary,base,clean,24,24,1.0,0,0.0,0,0,24
all,primary,base,full,24,0,0.0,24,1.0,24,0,26
all,primary,base,partial,24,20,0.8333333333333334,3,0.125,24,0,24
auto_mpg,branch,retry,clean,16,16,1.0,0,0.0,0,0,16
auto_mpg,branch,retry,full,16,0,0.0,16,1.0,16,0,16
auto_mpg,branch,verify,clean,16,16,1.0,0,0.0,0,3,29
auto_mpg,branch,verify,full,16,0,0.0,16,1.0,16,0,16
auto_mpg,primary,base,clean,8,8,1.0,0,0.0,0,0,8
auto_mpg,primary,base,full,8,0,0.0,8,1.0,8,0,8
auto_mpg,primary,base,partial,8,7,0.875,1,0.125,8,0,8
bike,branch,retry,clean,16,16,1.0,0,0.0,0,0,16
bike,branch,retry,full,16,0,0.0,16,1.0,16,0,16
bike,branch,verify,clean,16,15,0.9375,0,0.0,0,6,37
bike,branch,verify,full,16,0,0.0,14,0.875,16,0,16
bike,primary,base,clean,8,8,1.0,0,0.0,0,0,8
bike,primary,base,full,8,0,0.0,8,1.0,8,0,8
bike,primary,base,partial,8,5,0.625,2,0.25,8,0,8
penguins,branch,retry,clean,16,16,1.0,0,0.0,0,0,16
penguins,branch,retry,full,16,0,0.0,16,1.0,16,0,20
penguins,branch,verify,clean,16,16,1.0,0,0.0,0,1,23
penguins,branch,verify,full,16,0,0.0,16,1.0,16,0,16
penguins,primary,base,clean,8,8,1.0,0,0.0,0,0,8
penguins,primary,base,full,8,0,0.0,8,1.0,8,0,10
penguins,primary,base,partial,8,8,1.0,0,0.0,8,0,8
